PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Russell Westbrook (2018-2022),PG,OKC,28,5,"$205,030,000.00","$205,030,000.00",100.00%,"$41,006,000.00",2023
Stephen Curry (2017-2021),PG,GSW,29,5,"$201,158,790.00","$201,158,790.00",100.00%,"$40,231,758.00",2022
Blake Griffin (2017-2021),PF,LAC,28,5,"$171,174,820.00","$171,174,820.00",100.00%,"$34,234,964.00",2022
James Harden (2019-2022),SG,HOU,28,4,"$169,344,000.00","$169,344,000.00",100.00%,"$42,336,000.00",2023
John Wall (2019-2022),PG,WAS,27,4,"$169,344,000.00","$169,344,000.00",100.00%,"$42,336,000.00",2023
Mike Conley (2016-2020),PG,MEM,29,5,"$152,605,576.00","$140,529,829.00",92.09%,"$30,521,115.00",2021
Damian Lillard (2016-2020),PG,POR,27,5,"$139,888,445.00","$139,888,445.00",100.00%,"$27,977,689.00",2021
DeMar DeRozan (2016-2020),SG,TOR,28,5,"$139,000,000.00","$137,500,000.00",98.92%,"$27,800,000.00",2021
Jrue Holiday (2017-2021),PG,NOP,27,5,"$131,805,000.00","$128,130,000.00",97.21%,"$26,361,000.00",2022
Gordon Hayward (2017-2020),SF,BOS,27,4,"$127,829,970.00","$127,829,970.00",100.00%,"$31,957,493.00",2021
Anthony Davis (2016-2020),PF,NOP,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Bradley Beal (2016-2020),SG,WAS,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Andre Drummond (2016-2020),C,DET,24,5,"$127,171,313.00","$127,171,313.00",100.00%,"$25,434,263.00",2021
Carmelo Anthony (2014-2018),SF,OKCSigned w/NYK,33,5,"$124,064,681.00","$124,064,681.00",100.00%,"$24,812,936.00",2019
Nicolas Batum (2016-2020),SG,CHA,28,5,"$120,000,000.00","$120,000,000.00",100.00%,"$24,000,000.00",2021
James Harden (2016-2019),SG,HOU,28,4,"$117,964,846.00","$117,964,846.00",100.00%,"$29,491,212.00",2020
Al Horford (2016-2019),C,BOS,31,4,"$113,326,228.00","$113,326,228.00",100.00%,"$28,331,557.00",2020
Marc Gasol (2015-2019),C,MEM,32,5,"$113,211,750.00","$113,211,750.00",100.00%,"$22,642,350.00",2020
Kevin Love (2015-2019),PF,CLE,29,5,"$113,211,750.00","$113,211,750.00",100.00%,"$22,642,350.00",2020
Chris Paul (2013-2017),PG,HOUSigned w/LAC,32,5,"$107,343,477.00","$107,343,477.00",100.00%,"$21,468,695.00",2018
C.J. McCollum (2017-2020),SG,POR,26,4,"$106,633,449.00","$106,633,449.00",100.00%,"$26,658,362.00",2021
Otto Porter Jr. (2017-2020),SF,WAS,24,4,"$106,524,975.00","$106,524,975.00",100.00%,"$26,631,244.00",2021
Rudy Gobert (2017-2020),C,UTH,25,4,"$102,000,000.00","$94,000,000.00",92.16%,"$25,500,000.00",2021
Kyle Lowry (2017-2019),PG,TOR,31,3,"$100,000,000.00","$93,000,000.00",93.00%,"$33,333,333.00",2020
Steven Adams (2017-2020),C,OKC,24,4,"$100,000,000.00","$100,000,000.00",100.00%,"$25,000,000.00",2021
Giannis Antetokounmpo (2017-2020),SF,MIL,22,4,"$100,000,000.00","$100,000,000.00",100.00%,"$25,000,000.00",2021
LeBron James (2016-2018),SF,CLE,32,3,"$99,857,127.00","$99,857,127.00",100.00%,"$33,285,709.00",2019
Hassan Whiteside (2016-2019),C,MIA,28,4,"$98,419,538.00","$98,419,538.00",100.00%,"$24,604,885.00",2020
Harrison Barnes (2016-2019),SF,DAL,25,4,"$94,438,525.00","$94,438,525.00",100.00%,"$23,609,631.00",2020
Chandler Parsons (2016-2019),SF,MEM,28,4,"$94,438,523.00","$94,438,523.00",100.00%,"$23,609,631.00",2020
Kyrie Irving (2015-2019),PG,BOSSigned w/CLE,25,5,"$94,343,126.00","$94,343,126.00",100.00%,"$18,868,625.00",2020
Kawhi Leonard (2015-2019),SF,SAS,26,5,"$94,343,126.00","$94,343,126.00",100.00%,"$18,868,625.00",2020
Jimmy Butler (2015-2019),SG,MINSigned w/CHI,28,5,"$92,339,878.00","$92,339,878.00",100.00%,"$18,467,976.00",2020
Paul George (2014-2018),SF,OKCSigned w/IND,27,5,"$91,572,660.00","$91,572,660.00",100.00%,"$18,314,532.00",2019
DeAndre Jordan (2015-2018),C,LAC,29,4,"$87,616,050.00","$87,616,050.00",100.00%,"$21,904,013.00",2019
Russell Westbrook (2016-2018),PG,OKC,28,3,"$85,591,823.00","$85,591,823.00",100.00%,"$28,530,608.00",2019
Goran Dragic (2015-2019),PG,MIA,31,5,"$85,002,250.00","$85,002,250.00",100.00%,"$17,000,450.00",2020
Evan Fournier (2016-2020),SG,ORL,24,5,"$85,000,000.00","$85,000,000.00",100.00%,"$17,000,000.00",2021
Victor Oladipo (2017-2020),SG,INDSigned w/OKC,25,4,"$85,000,000.00","$84,000,000.00",98.82%,"$21,250,000.00",2021
John Wall (2014-2018),PG,WAS,27,5,"$84,789,500.00","$84,789,500.00",100.00%,"$16,957,900.00",2019
LaMarcus Aldridge (2015-2018),PF,SAS,32,4,"$84,072,030.00","$84,072,030.00",100.00%,"$21,018,008.00",2019
Tristan Thompson (2015-2019),C,CLE,26,5,"$82,000,000.00","$82,000,000.00",100.00%,"$16,400,000.00",2020
Draymond Green (2015-2019),PF,GSW,27,5,"$82,000,000.00","$82,000,000.00",100.00%,"$16,400,000.00",2020
Ryan Anderson (2016-2019),PF,HOU,29,4,"$80,000,000.00","$80,000,000.00",100.00%,"$20,000,000.00",2020
Reggie Jackson (2015-2019),PG,DET,27,5,"$80,000,000.00","$80,000,000.00",100.00%,"$16,000,000.00",2020
Allen Crabbe (2016-2019),SF,BKNSigned w/POR,25,4,"$74,832,500.00","$74,832,500.00",100.00%,"$18,708,125.00",2020
Joakim Noah (2016-2019),C,NYK,32,4,"$72,590,000.00","$72,590,000.00",100.00%,"$18,147,500.00",2020
Luol Deng (2016-2019),SF,LAL,32,4,"$72,000,000.00","$72,000,000.00",100.00%,"$18,000,000.00",2020
Bismack Biyombo (2016-2019),PF,ORL,25,4,"$72,000,000.00","$68,000,000.00",94.44%,"$18,000,000.00",2020
Tim Hardaway Jr. (2017-2020),SG,NYK,25,4,"$70,950,000.00","$70,950,000.00",100.00%,"$17,737,500.00",2021
Dwight Howard (2016-2018),C,CHASigned w/ATL,31,3,"$70,500,000.00","$70,500,000.00",100.00%,"$23,500,000.00",2019
Wesley Matthews (2015-2018),SG,DAL,30,4,"$70,060,026.00","$70,060,026.00",100.00%,"$17,515,007.00",2019
Enes Kanter (2015-2018),PF,NYKSigned w/OKC,25,4,"$70,060,026.00","$70,060,026.00",100.00%,"$17,515,007.00",2019
Evan Turner (2016-2019),SF,POR,28,4,"$70,000,000.00","$70,000,000.00",100.00%,"$17,500,000.00",2020
Eric Bledsoe (2014-2018),PG,PHX,27,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2019
Brandon Knight (2015-2019),PG,PHX,25,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2020
Khris Middleton (2015-2019),SF,MIL,26,5,"$70,000,000.00","$70,000,000.00",100.00%,"$14,000,000.00",2020
Kent Bazemore (2016-2019),SF,ATL,28,4,"$70,000,000.00","$70,000,000.00",100.00%,"$17,500,000.00",2020
Dennis Schröder (2017-2020),PG,ATL,24,4,"$70,000,000.00","$62,000,000.00",88.57%,"$17,500,000.00",2021
Klay Thompson (2015-2018),SG,GSW,27,4,"$68,979,450.00","$68,979,450.00",100.00%,"$17,244,863.00",2019
DeMarcus Cousins (2014-2017),C,NOPSigned w/SAC,27,4,"$65,619,700.00","$65,619,700.00",100.00%,"$16,404,925.00",2018
Serge Ibaka (2017-2019),PF,TOR,28,3,"$65,000,000.00","$65,000,000.00",100.00%,"$21,666,667.00",2020
Danilo Gallinari (2017-2019),SF,LACSigned w/DEN,29,3,"$64,762,737.00","$64,762,737.00",100.00%,"$21,587,579.00",2020
Ian Mahinmi (2016-2019),C,WAS,30,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Timofey Mozgov (2016-2019),C,BKNSigned w/LAL,31,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Jonas Valanciunas (2016-2019),C,TOR,25,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2020
Tobias Harris (2015-2018),PF,DETSigned w/ORL,25,4,"$64,000,000.00","$64,000,000.00",100.00%,"$16,000,000.00",2019
Brook Lopez (2015-2017),C,LALSigned w/BKN,29,3,"$63,497,025.00","$63,497,025.00",100.00%,"$21,165,675.00",2018
Gorgui Dieng (2017-2020),PF,MIN,27,4,"$62,800,000.00","$62,800,000.00",100.00%,"$15,700,000.00",2021
Paul Millsap (2017-2018),PF,DEN,32,2,"$61,000,000.00","$60,000,000.00",98.36%,"$30,500,000.00",2020
Marcin Gortat (2014-2018),C,WAS,33,5,"$60,000,000.00","$60,000,000.00",100.00%,"$12,000,000.00",2019
DeMarre Carroll (2015-2018),SF,BKNSigned w/TOR,31,4,"$58,000,000.00","$58,000,000.00",100.00%,"$14,500,000.00",2019
Omer Asik (2015-2019),C,NOP,31,5,"$57,977,525.00","$43,999,998.00",75.89%,"$11,595,505.00",2020
J.R. Smith (2016-2019),SG,CLE,32,4,"$57,000,000.00","$45,150,000.00",79.21%,"$14,250,000.00",2020
George Hill (2017-2019),PG,SAC,31,3,"$57,000,000.00","$40,000,000.00",70.18%,"$19,000,000.00",2020
