,Unnamed: 0,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
10,10,2.7,0.509,5.2,0.0,0.0,0.0,0.7,25,1.0,3.9,2.7,0.508,5.2,2.4,0.642,3.7,81,4.0,NBA,21.4,2.3,2.3,Anthony Davis ,7.7,PF,0.6,1.3,6.2,IND,0.508
11,11,2.5,0.445,5.6,0.0,,0.0,0.6,26,0.7,4.0,2.5,0.445,5.6,2.7,0.672,4.0,44,1.0,NBA,23.4,2.4,3.0,Anthony Davis ,7.6,PF,0.4,1.5,6.4,IND,0.445
12,12,2.9,0.49,5.9,0.0,0.5,0.0,0.5,27,0.8,3.8,2.9,0.49,5.9,3.0,0.713,4.2,82,14.0,NBA,25.5,2.3,3.0,Anthony Davis ,8.8,PF,0.4,1.1,6.1,IND,0.491
13,13,3.7,0.49,7.6,0.0,0.071,0.2,0.8,28,1.0,5.0,3.8,0.48,7.8,2.9,0.6659999999999999,4.4,82,28.0,NBA,28.5,2.3,3.2,Anthony Davis ,10.5,PF,0.5,1.7,7.3,IND,0.48100000000000004
14,14,3.1,0.484,6.4,0.0,0.0,0.0,0.7,29,0.9,4.5,3.1,0.48100000000000004,6.4,3.4,0.696,4.9,82,12.0,NBA,26.7,2.3,2.9,Anthony Davis ,9.6,PF,0.5,1.3,6.8,IND,0.48100000000000004
15,15,3.3,0.47100000000000003,7.1,0.0,,0.0,0.7,30,0.9,4.7,3.3,0.47100000000000003,7.1,2.8,0.703,3.9,49,1.0,NBA,25.9,2.4,2.8,Anthony Davis ,9.4,PF,0.4,1.0,7.0,IND,0.47100000000000003
16,16,4.0,0.44,9.0,0.0,,0.0,1.3,31,1.3,5.8,4.0,0.44,9.0,3.6,0.765,4.7,79,78.0,NBA,31.4,3.0,3.4,Anthony Davis ,11.5,C,0.5,1.5,8.8,TOR,0.44
17,17,4.8,0.434,11.1,0.0,0.0,0.0,1.4,32,1.9,6.6,4.8,0.433,11.1,4.1,0.754,5.4,78,77.0,NBA,35.0,3.5,2.9,Anthony Davis ,13.7,C,0.3,1.7,10.1,TOR,0.433
18,18,5.3,0.426,12.5,0.0,0.0,0.0,2.0,33,1.1,6.3,5.3,0.426,12.5,3.8,0.818,4.6,77,77.0,NBA,38.7,3.3,2.9,Anthony Davis ,14.5,PF,0.7,2.1,9.6,TOR,0.426
19,19,4.9,0.40700000000000003,12.1,0.0,,0.0,2.5,34,1.2,5.8,4.9,0.40700000000000003,12.1,4.1,0.7709999999999999,5.3,53,52.0,NBA,35.7,2.5,2.8,Anthony Davis ,13.9,C,0.4,2.2,8.2,TOR,0.40700000000000003
20,20,3.3,0.40299999999999997,8.3,0.0,,0.0,1.7,35,0.8,5.8,3.3,0.40299999999999997,8.3,2.2,0.765,2.9,80,79.0,NBA,32.1,2.6,2.6,Anthony Davis ,8.9,C,0.5,1.4,8.4,TOT,0.40299999999999997
21,21,3.1,0.38299999999999995,8.0,0.0,,0.0,0.9,35,0.5,6.3,3.1,0.38299999999999995,8.0,2.5,0.755,3.3,15,15.0,NBA,35.9,3.3,3.0,Anthony Davis ,8.6,C,0.5,1.4,9.5,TOR,0.38299999999999995
22,22,3.4,0.40700000000000003,8.3,0.0,,0.0,1.9,35,0.9,5.7,3.4,0.40700000000000003,8.3,2.1,0.768,2.8,65,64.0,NBA,31.3,2.4,2.5,Anthony Davis ,8.9,C,0.4,1.4,8.1,CHI,0.40700000000000003
