,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PLAYER_NAME,PTS,Pos,STL,TOV,TRB,Tm,eFG%
0,7.7,.459,16.8,2.5,.343,7.2,10.4,28,0.4,9.0,10.2,.425,24.0,8.8,.845,10.4,81,81,NBA,34.6,1.7,2.3,Russell Westbrook ,31.6,PG,1.6,5.4,10.7,OKC,.476
1,3.9,.551,7.1,3.5,.381,9.3,6.5,29,0.3,4.3,7.5,.455,16.4,6.3,.940,6.7,15,15,NBA,32.4,0.5,2.3,Stephen Curry ,24.7,PG,1.8,2.7,4.8,GSW,.563
2,5.5,.451,12.1,2.1,.352,5.9,4.7,28,0.4,6.8,7.5,.419,18.0,5.7,.773,7.3,15,15,NBA,35.7,1.3,2.3,Blake Griffin ,22.8,PF,0.9,2.8,8.1,LAC,.476
3,5.0,.500,10.0,4.5,.404,11.1,9.9,28,0.5,4.2,9.5,.450,21.1,8.2,.864,9.5,17,17,NBA,36.2,0.6,2.9,James Harden ,31.6,SG,1.7,4.9,4.8,HOU,.556
4,5.4,.457,11.7,1.3,.346,3.7,9.3,27,1.2,3.4,6.6,.431,15.4,5.4,.743,7.2,14,14,NBA,34.1,0.4,2.1,John Wall ,19.9,PG,1.1,3.3,3.7,WAS,.472
5,4.2,.497,8.6,2.5,.408,6.1,6.3,29,0.3,3.0,6.7,.460,14.6,4.6,.859,5.3,69,68,NBA,33.2,0.4,1.8,Mike Conley ,20.5,PG,1.3,2.3,3.5,MEM,.545
6,5.3,.464,11.3,2.4,.317,7.7,6.4,27,0.6,4.1,7.7,.405,19.0,6.8,.924,7.4,16,16,NBA,36.1,1.3,1.6,Damian Lillard ,24.6,PG,1.2,2.9,5.4,POR,.469
7,7.5,.504,14.9,0.8,.300,2.7,4.5,28,0.1,3.5,8.3,.473,17.6,7.2,.837,8.6,15,15,NBA,34.5,0.7,1.7,DeMar DeRozan ,24.7,SG,1.3,3.0,4.2,TOR,.496
8,5.2,.565,9.2,0.8,.213,3.8,6.4,27,0.3,4.2,6.0,.462,13.0,1.5,.828,1.8,16,16,NBA,36.9,0.8,2.6,Jrue Holiday ,14.3,PG,1.2,2.9,4.9,NOP,.493
9,1.0,1.000,1.0,0.0,.000,1.0,0.0,27,0.0,1.0,1.0,.500,2.0,0.0,,0.0,1,1,NBA,5.0,0.0,1.0,Gordon Hayward ,2.0,SF,0.0,0.0,1.0,BOS,.500
10,2.7,.509,5.2,0.0,.000,0.0,0.7,25,1.0,3.9,2.7,.508,5.2,2.4,.642,3.7,81,4,NBA,21.4,2.3,2.3,Anthony Davis ,7.7,PF,0.6,1.3,6.2,IND,.508
11,2.5,.445,5.6,0.0,,0.0,0.6,26,0.7,4.0,2.5,.445,5.6,2.7,.672,4.0,44,1,NBA,23.4,2.4,3.0,Anthony Davis ,7.6,PF,0.4,1.5,6.4,IND,.445
12,2.9,.490,5.9,0.0,.500,0.0,0.5,27,0.8,3.8,2.9,.490,5.9,3.0,.713,4.2,82,14,NBA,25.5,2.3,3.0,Anthony Davis ,8.8,PF,0.4,1.1,6.1,IND,.491
13,3.7,.490,7.6,0.0,.071,0.2,0.8,28,1.0,5.0,3.8,.480,7.8,2.9,.666,4.4,82,28,NBA,28.5,2.3,3.2,Anthony Davis ,10.5,PF,0.5,1.7,7.3,IND,.481
