,0
0,Davon Reed 
1,Justin Patton 
2,Harry Giles 
3,Frank Jackson 
4,Tyler Lydon 
5,Rade Zagorac 
6,Thomas Bryant 
7,Cameron Oliver 
8,Kennedy Meeks 
9,LJ Peak 
10,Jeremy Morgan 
11,Luke Petrasek 
12,Erik McCree 
13,Landry Nnoko 
14,Jeremy Senglin 
15,Milton Doyle 
16,Jordan Mathews 
17,Alex Hamilton 
18,Jacob Pullen 
19,Akil Mitchell 
20,Bryce Alford 
21,Rashawn Thomas 
22,Amida Brimah 
23,Taylor Braun 
24,Bronson Koenig 
25,TJ Williams 
26,Trey McKinneyJones 
27,Isaiah Hicks 
28,Tyrone Wallace 
29,Nigel Hayes 
30,Ben Moore 
31,Jamel Artis 
32,Xavier RathanMayes 
33,Andrew White 
34,Daniel Dixon 
35,Troy Caupain 
36,LaDontae Henton 
37,Peter Jok 
38,London Perrantes 
39,Amile Jefferson 
40,Isaiah Briscoe 
41,Melo Trimble 
42,Terry Henderson 
43,VJ Beachem 
44,Luke Kornet 
